Občanství,Kód,Kód zn.,Kód zn..1,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj,Součet,Rok,Q
Polsko,616,PL,POL,482,177,39,62,34,108,153,301,69,21,127,153,869,38,2633,2019,2
Portugalsko,620,PT,PRT,62,5,1,5,2,2,2,2,0,2,11,1,5,1,101,2019,2
Guinea-Bissau,624,GW,GNB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2019,2
Katar,634,QA,QAT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,2
Rumunsko,642,RO,ROU,814,210,64,269,36,120,44,41,54,34,171,61,17,59,1994,2019,2
Rusko,643,RU,RUS,2148,430,20,42,196,147,43,27,23,12,124,37,49,24,3322,2019,2
Svatá Lucie,662,LC,LCA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,2
Svatý Tomáš a Princův ostrov,678,ST,STP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2019,2
Saúdská Arábie,682,SA,SAU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2019,2
Senegal,686,SN,SEN,10,4,0,0,0,1,0,0,0,0,0,0,0,0,15,2019,2
Srbsko,688,RS,SRB,131,23,1,8,14,12,4,3,0,1,16,5,8,6,232,2019,2
Sierra Leone,694,SL,SLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2019,2
Singapur,702,SG,SGP,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2019,2
Slovensko,703,SK,SVK,7283,2459,505,692,267,616,458,425,435,313,2607,511,1356,861,18788,2019,2
Vietnam,704,VN,VNM,4134,1873,921,2204,2862,3471,713,533,495,385,1306,544,1056,292,20789,2019,2
Slovinsko,705,SI,SVN,40,8,3,1,3,2,2,2,2,0,7,1,7,2,80,2019,2
Somálsko,706,SO,SOM,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2019,2
Jižní Afrika,710,ZA,ZAF,31,9,3,0,2,2,1,0,0,0,10,2,1,2,63,2019,2
Zimbabwe,716,ZW,ZWE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2019,2
Španělsko,724,ES,ESP,312,19,8,6,3,7,8,5,7,2,29,7,9,5,427,2019,2
Súdán,729,SD,SDN,4,1,0,0,0,2,0,0,0,0,0,0,0,0,7,2019,2
Surinam,740,SR,SUR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2019,2
Švédsko,752,SE,SWE,88,24,1,19,1,16,2,0,0,4,8,1,6,0,170,2019,2
Švýcarsko,756,CH,CHE,37,6,5,1,5,1,5,2,1,1,4,0,3,2,73,2019,2
Sýrie,760,SY,SYR,46,15,4,14,7,20,7,8,1,1,24,7,18,4,176,2019,2
Tádžikistán,762,TJ,TJK,10,1,0,0,0,0,0,0,0,0,1,0,0,0,12,2019,2
Thajsko,764,TH,THA,92,14,6,6,2,7,2,1,2,0,6,2,2,3,145,2019,2
Togo,768,TG,TGO,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2019,2
Trinidad a Tobago,780,TT,TTO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,2
Spojené arabské emiráty,784,AE,ARE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2019,2
Tunisko,788,TN,TUN,83,26,4,4,4,11,4,6,4,1,10,4,7,1,169,2019,2
Turecko,792,TR,TUR,90,18,6,8,4,18,7,5,4,3,10,5,8,7,193,2019,2
Turkmenistán,795,TM,TKM,6,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2019,2
Uganda,800,UG,UGA,2,1,0,0,0,0,0,1,0,0,0,0,0,0,4,2019,2
Ukrajina,804,UA,UKR,10461,3199,644,1333,639,1182,717,806,789,412,1560,452,274,256,22724,2019,2
Severní Makedonie,807,MK,MKD,119,32,5,9,3,50,1,9,2,3,20,15,34,7,309,2019,2
Egypt,818,EG,EGY,34,15,3,1,5,9,4,8,5,2,9,7,11,3,116,2019,2
Velká Británie,826,GB,GBR,1044,206,43,55,17,39,69,37,46,27,137,44,67,48,1879,2019,2
Guernsey,831,GG,GGY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,2
Tanzanie,834,TZ,TZA,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2019,2
Spojené státy,840,US,USA,1254,114,40,27,6,30,19,17,14,11,58,25,42,22,1679,2019,2
Burkina Faso,854,BF,BFA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2019,2
Uruguay,858,UY,URY,1,2,0,1,0,0,0,0,0,0,0,0,0,0,4,2019,2
Uzbekistán,860,UZ,UZB,284,27,0,18,4,4,3,8,2,2,5,4,0,0,361,2019,2
Venezuela,862,VE,VEN,26,1,0,0,0,0,0,2,0,0,4,0,1,0,34,2019,2
Jemen,887,YE,YEM,9,3,0,2,0,6,1,0,1,0,2,1,2,0,27,2019,2
Srbsko a Černá Hora,891,CS,SCG,237,46,15,14,8,21,9,5,1,2,19,7,14,7,405,2019,2
Zambie,894,ZM,ZMB,2,2,0,0,0,0,0,1,0,0,0,0,0,0,5,2019,2
Součet,SUM1,,,344848,269160,125046,109760,54410,133260,91838,108009,92436,87964,223394,109016,189544,109907,2048592,2019,2
Z toho cizinci,SUM2,,,36523,10570,2809,5540,4690,7867,2639,2561,2208,1489,7446,2294,4334,1890,92860,2019,2
